device_type,age_months,cpu_usage_percent,cpu_temperature_celsius,memory_usage_percent,memory_available_gb,memory_total_gb,battery_health_percent,battery_cycle_count,battery_charging_status,system_uptime_hours,days_since_last_update,cpu_score,memory_score,battery_score,system_score,overall_health_percent,remaining_months
laptop,2.1,33.4,54.2,35.7,20.6,32,98.6,69,charging,3.2,10.0,100,100,100,100,100,63.1
desktop,18.5,60.1,64.3,51.2,3.9,8,,,,1944.9,41.0,89.9,99.2,100,74.5,87.4,44.8
laptop,30.2,39.2,59.2,55.3,3.6,8,65.2,1194,discharging,486.7,38.0,100,96.8,49.3,88.0,81.3,24.8
laptop,71.8,83.7,79.5,54.9,7.2,16,55.4,1500,discharging,15.0,120.0,55.3,100,38.8,66.7,59.6,0
laptop,57.5,81.6,78.9,63.5,2.9,8,54.5,1500,discharging,118.4,120.0,58.3,87.0,38.1,66.7,59.1,0
laptop,62.6,55.8,76.2,62.2,6.1,16,60.1,1500,discharging,18.4,71.0,74.4,97.4,42.1,79.5,68.7,1.8
laptop,32.3,60.7,65.1,66.0,5.4,16,78.1,813,discharging,229.6,51.0,88.6,92.8,74.1,81.5,85.8,36.7
desktop,81.6,74.8,82.4,62.3,3.0,8,,,,46.0,130.0,55.3,89.2,100,65.6,69.7,0
laptop,50.3,51.5,65.5,64.7,5.6,16,54.8,1489,charging,17.8,123.0,91.7,94.4,38.4,66.4,72.6,0.7
desktop,79.5,24.0,74.3,47.8,16.7,32,,,,126.7,132.0,80.0,100,100,65.4,81.1,12.9
desktop,10.2,29.1,54.7,48.5,16.5,32,,,,2.6,28.0,100,100,100,100,100,80.8
laptop,43.2,33.7,64.5,42.6,18.4,32,58.4,1449,discharging,1405.5,52.0,93.7,100,40.9,69.0,75.1,16.0
laptop,56.6,93.7,73.6,60.5,6.3,16,55.3,1500,discharging,84.8,58.0,56.6,99.4,38.7,86.0,65.9,2.1
laptop,4.2,94.9,69.6,61.7,3.1,8,96.6,116,charging,3968.8,7.0,61.1,90.8,100,68.0,79.3,16.3
desktop,24.0,69.2,66.5,52.1,15.3,32,,,,66.7,62.0,83.2,100,100,84.0,88.7,63.0
laptop,4.2,50.5,63.8,39.8,19.3,32,95.0,110,charging,82.1,34.0,94.5,100,100,98.0,98.1,44.7
laptop,35.2,59.6,66.3,41.8,9.3,16,70.6,1006,discharging,1858.2,44.0,87.3,100,56.8,73.0,78.4,36.7
laptop,6.2,28.1,53.9,60.8,6.3,16,92.6,187,discharging,16.4,28.0,100,99.0,100,100,98.2,62.9
desktop,9.7,19.1,55.4,36.5,10.2,16,,,,280.4,28.0,100,100,100,92.0,97.6,82.9
laptop,7.8,46.0,56.7,37.1,5.0,8,89.2,307,discharging,2739.3,18.0,100,100,99.6,68.0,95.8,43.8
