serial_number,model,disk_age_months,disk_temperature_celsius,read_errors,write_errors,pending_sectors,failure,disk_health_score,disk_remaining_months
PL2331LAGMZDBJ,HGST HMS5C4040BLE640,23.0,34.0,0,0.0,0,0,100.0,49.0
S301GMVH,ST4000DM000,4.8,30.0,0,0.0,0,0,100.0,60.0
W300CWLM,ST4000DM000,31.1,29.0,0,0.0,120,1,15.0,0.0
W300H3AV,ST4000DM000,29.6,22.0,0,0.0,0,0,95.0,40.3
Z305D6WD,ST4000DM000,1.9,25.0,0,0.0,0,0,100.0,60.0
Z3015CGX,ST4000DM000,25.3,29.0,0,0.0,0,0,95.0,44.4
Z300XE9R,ST4000DM000,29.0,22.0,0,0.0,0,0,95.0,40.9
MK0311YHGHP3NA,Hitachi HDS723030ALA640,48.5,28.0,0,0.0,0,0,90.0,21.2
Z3041TKK,ST4000DM000,4.3,28.0,0,0.0,0,0,100.0,60.0
Z304HKLD,ST4000DM000,5.0,24.0,0,0.0,0,0,100.0,60.0
PL2331LAGUJ8YJ,HGST HMS5C4040ALE640,15.4,33.0,0,0.0,0,0,100.0,56.6
PL1311LAG3AVMH,Hitachi HDS5C4040ALE630,37.7,24.0,0,0.0,0,0,90.0,30.9
MJ1313YNG108SC,Hitachi HDS5C3030ALA630,54.8,26.0,0,0.0,0,0,90.0,15.5
Z300GZ12,ST4000DM000,30.3,24.0,0,0.0,0,0,95.0,39.6
MJ1323YNG1DGLC,Hitachi HDS5C3030ALA630,56.3,20.0,0,0.0,0,0,90.0,14.1
PL2311LAG1D3RC,Hitachi HDS5C4040ALE630,35.4,25.0,0,0.0,0,0,95.0,34.8
S300Z410,ST4000DM000,8.5,24.0,0,0.0,0,0,100.0,60.0
JK1101B9GBUDMF,Hitachi HDS722020ALA330,62.7,26.0,0,0.0,0,0,80.0,7.4
S300XCWB,ST4000DM000,5.9,22.0,0,0.0,0,0,100.0,60.0
PL2331LAGSV2YJ,HGST HMS5C4040ALE640,20.1,35.0,0,0.0,0,0,100.0,51.9
Z304HTMK,ST4000DM000,4.4,24.0,0,0.0,0,0,100.0,60.0
Z30149KQ,ST4000DM000,25.3,22.0,0,0.0,0,0,95.0,44.4
S300A3S4,ST4000DM000,6.2,36.0,0,0.0,0,0,100.0,60.0
Z30251J3,ST4000DM000,11.6,24.0,0,0.0,0,0,100.0,60.0
W300J5YM,ST4000DM000,31.1,23.0,0,0.0,0,0,95.0,38.9
PL1331LAGT82UH,HGST HMS5C4040ALE640,15.6,25.0,0,0.0,0,0,100.0,56.4
Z300GYNB,ST4000DM000,29.7,22.0,0,0.0,0,0,95.0,40.2
Z3025ZA6,ST4000DM000,17.6,22.0,0,0.0,0,0,100.0,54.4
Z303Z3SN,ST4000DM000,7.3,21.0,0,0.0,0,0,100.0,60.0
PL1311LAG3BTBH,Hitachi HDS5C4040ALE630,36.5,26.0,0,0.0,0,0,90.0,31.9
Z305DJ59,ST4000DM000,2.8,34.0,0,0.0,0,0,100.0,60.0
W300AJ1Z,ST4000DM000,31.4,21.0,0,0.0,0,0,95.0,38.6
S30115NR,ST4000DM000,8.7,19.0,0,0.0,0,0,100.0,60.0
W300SYAA,ST4000DM000,6.6,24.0,0,0.0,0,0,100.0,60.0
Z304KBS6,ST4000DM000,1.9,32.0,0,0.0,0,0,100.0,60.0
Z302A0G6,ST4000DM000,12.0,24.0,0,0.0,0,0,100.0,60.0
PL2331LAGRWUVJ,HGST HMS5C4040ALE640,18.8,25.0,0,0.0,0,0,100.0,53.2
PL2331LAGMK53J,HGST HMS5C4040BLE640,22.6,20.0,0,0.0,0,0,100.0,49.4
JK1174YAK76Y5W,Hitachi HDS722020ALA330,66.9,29.0,0,0.0,0,0,80.0,4.1
S301LP9D,ST4000DM000,6.0,24.0,0,0.0,0,0,100.0,60.0
S301PXNA,ST4000DM000,4.9,23.0,0,0.0,0,0,100.0,60.0
Z305P0CK,ST4000DM000,2.1,34.0,0,0.0,0,0,100.0,60.0
Z305KW14,ST4000DM000,1.3,26.0,0,0.0,0,0,100.0,60.0
Z304L8QY,ST4000DM000,6.4,34.0,0,0.0,0,0,100.0,60.0
Z304HSR8,ST4000DM000,2.0,28.0,0,0.0,0,0,100.0,60.0
Z304KCRD,ST4000DM000,1.6,30.0,0,0.0,0,0,100.0,60.0
MK0331YHGPMYDA,Hitachi HDS723030ALA640,51.6,27.0,0,0.0,0,0,90.0,18.4
PL2331LAGSUGMJ,HGST HMS5C4040ALE640,16.9,29.0,0,0.0,0,0,100.0,55.1
Z300X43E,ST4000DM000,25.2,30.0,0,0.0,0,0,95.0,44.5
MJ1321YNG0P9WA,Hitachi HDS5C3030ALA630,52.9,26.0,0,0.0,0,0,90.0,17.2
Z300YTYR,ST4000DM000,8.6,36.0,0,0.0,0,0,100.0,60.0
Z300E57S,ST4000DM000,26.9,21.0,0,0.0,0,0,95.0,42.8
MJ1311YNG7KRNA,Hitachi HDS5C3030ALA630,44.4,25.0,0,0.0,0,0,90.0,24.8
PL1331LAGTKYVH,HGST HMS5C4040ALE640,19.8,26.0,0,0.0,0,0,100.0,52.2
PL1331LAGSHH4H,HGST HMS5C4040ALE640,20.2,37.0,0,0.0,0,0,100.0,51.8
