device_type,device_type_encoded,age_months,cpu_usage_percent,cpu_temperature_celsius,memory_usage_percent,memory_available_gb,memory_total_gb,battery_health_percent,battery_cycle_count,battery_charging_encoded,system_uptime_hours,days_since_last_update,disk_age_months,disk_temperature_celsius,read_errors,write_errors,pending_sectors,disk_health_score,cpu_score,memory_score,battery_score,system_score,overall_health_percent,remaining_months
laptop,1,2.1,33.4,54.2,35.7,20.6,32,98.6,69.0,1.0,3.2,10.0,26.2,35.0,0,0.0,0,95.0,100.0,100.0,100.0,100.0,98.8,43.5
desktop,0,18.5,60.1,64.3,51.2,3.9,8,-1.0,-1.0,-1.0,1944.9,41.0,9.5,28.0,0,0.0,0,100.0,89.9,99.2,100.0,74.5,91.7,44.8
laptop,1,30.2,39.2,59.2,55.3,3.6,8,65.2,1194.0,0.0,486.7,38.0,21.7,26.0,0,0.0,0,100.0,100.0,96.8,49.3,88.0,85.6,24.8
laptop,1,71.8,83.7,79.5,54.9,7.2,16,55.4,1500.0,0.0,15.0,120.0,39.2,30.0,0,0.0,0,90.0,55.3,100.0,38.8,66.7,67.7,0.0
laptop,1,57.5,81.6,78.9,63.5,2.9,8,54.5,1500.0,0.0,118.4,120.0,65.9,32.0,0,0.0,0,80.0,58.3,87.0,38.1,66.7,63.8,0.0
laptop,1,62.6,55.8,76.2,62.2,6.1,16,60.1,1500.0,0.0,18.4,71.0,33.5,22.0,0,0.0,0,95.0,74.4,97.4,42.1,79.5,75.4,1.8
laptop,1,32.3,60.7,65.1,66.0,5.4,16,78.1,813.0,0.0,229.6,51.0,19.6,36.0,0,0.0,0,100.0,88.6,92.8,74.1,81.5,87.7,36.7
desktop,0,81.6,74.8,82.4,62.3,3.0,8,-1.0,-1.0,-1.0,46.0,130.0,4.6,38.0,0,0.0,0,100.0,55.3,89.2,100.0,65.6,77.6,0.0
laptop,1,50.3,51.5,65.5,64.7,5.6,16,54.8,1489.0,1.0,17.8,123.0,0.7,31.0,0,0.0,0,100.0,91.7,94.4,38.4,66.4,78.3,0.7
desktop,0,79.5,24.0,74.3,47.8,16.7,32,-1.0,-1.0,-1.0,126.7,132.0,20.7,36.0,0,0.0,0,100.0,80.0,100.0,100.0,65.4,87.1,12.9
desktop,0,10.2,29.1,54.7,48.5,16.5,32,-1.0,-1.0,-1.0,2.6,28.0,6.1,36.0,0,0.0,0,100.0,100.0,100.0,100.0,100.0,100.0,60.0
laptop,1,43.2,33.7,64.5,42.6,18.4,32,58.4,1449.0,0.0,1405.5,52.0,2.8,35.0,0,0.0,0,100.0,93.7,100.0,40.9,69.0,80.6,16.0
laptop,1,56.6,93.7,73.6,60.5,6.3,16,55.3,1500.0,0.0,84.8,58.0,55.2,27.0,0,0.0,0,90.0,56.6,99.4,38.7,86.0,69.8,2.1
laptop,1,4.2,94.9,69.6,61.7,3.1,8,96.6,116.0,1.0,3968.8,7.0,28.7,33.0,0,0.0,0,95.0,61.1,90.8,100.0,68.0,84.4,16.3
desktop,0,24.0,69.2,66.5,52.1,15.3,32,-1.0,-1.0,-1.0,66.7,62.0,10.1,33.0,0,0.0,0,100.0,83.2,100.0,100.0,84.0,91.8,60.0
